Month,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
1,3,4,556,707,YV,7064,N456YV,71,49,-16,-4,GJT,DEN,212,9,13,0,,0
1,7,1,1600,1805,YV,2905,N991HA,125,95,7,0,PHX,GJT,438,5,25,0,,0
1,17,4,1444,1755,YV,7190,N650ML,131,81,70,46,ORD,AVP,631,2,48,0,,0
1,25,5,959,1310,YV,2995,N930LR,131,91,-5,0,PHX,OKC,833,7,33,0,,0
1,2,3,1210,1235,OH,5318,N868CA,85,68,70,80,CVG,MEM,403,5,12,0,,0
1,3,4,2155,2355,OH,5539,N653CA,120,86,33,78,JFK,CVG,589,1,33,0,,0
1,4,5,1540,1843,OH,5644,N641CA,123,110,8,15,DFW,CVG,812,1,12,0,,0
1,21,1,1945,2124,OH,5112,N692CA,99,68,-12,0,CVG,PHL,507,6,25,0,,0
1,31,4,1330,1515,OH,5058,N625CA,105,88,-17,0,JAX,CVG,614,5,12,0,,0
1,2,3,906,1054,OO,4125,N613SK,108,78,24,6,DEN,SLC,391,18,12,0,,0
1,6,7,1129,1415,OO,2802,N417SW,106,90,-10,-1,MKE,BWI,641,5,11,0,,0
1,16,3,752,1637,UA,6,N554UA,345,313,13,-8,SFO,JFK,2586,10,22,0,,0
1,22,2,833,1028,UA,43,N924UA,235,218,-2,-3,CLT,DEN,1337,7,10,0,,0
1,18,5,1341,1508,UA,65,N584UA,87,61,0,-4,SNA,SFO,372,16,10,0,,0
1,29,2,1112,1258,UA,121,N364UA,166,142,-2,-11,BDL,ORD,783,6,18,0,,0
1,9,3,1707,1855,UA,1597,N439UA,228,208,-17,-5,ORD,LAS,1515,4,16,0,,0
1,6,7,2206,2329,US,1074,N745VJ,143,131,-25,6,CLT,MSP,930,4,8,0,,0
1,16,3,1527,1653,US,1683,N530AU,86,69,-14,-3,PIT,CLT,366,7,10,0,,0
1,19,6,1242,1526,DL,1844,N944DL,164,146,19,42,RSW,BOS,1249,6,12,0,,0
1,22,2,1912,2039,DL,1274,N971DL,87,53,6,-3,CLT,ATL,227,8,26,0,,0
1,25,5,909,927,EV,4189,N937EV,78,52,-1,0,ATL,PNS,272,5,21,0,,0
1,14,1,1616,1742,EV,4315,N760EV,146,128,-12,1,ATL,AUS,813,4,14,0,,0
1,22,2,1336,1552,EV,4864,N738EV,76,60,20,36,LIT,ATL,453,9,7,0,,0
1,10,4,1728,1951,F9,511,N903FR,263,233,0,-2,LGA,DEN,1619,11,19,0,,0
1,30,3,1124,1242,F9,570,N938FR,78,57,-13,-6,SLC,DEN,391,8,13,0,,0
1,4,5,1812,2029,FL,542,N176AT,257,239,5,7,ATL,PHX,1587,5,13,0,,0
1,4,5,2044,2258,FL,538,N307AT,254,236,29,34,ATL,PHX,1587,5,13,0,,0
1,15,2,1919,2208,FL,349,N240AT,109,91,-6,-4,MKE,BWI,641,8,10,0,,0
1,15,2,1020,1113,HA,139,N481HA,53,23,11,-5,HNL,LIH,102,5,25,0,,0
1,26,6,1051,1123,HA,514,N485HA,32,20,-1,-4,LIH,HNL,102,5,7,0,,0
1,23,3,1800,1935,MQ,3086,N301AE,95,69,40,-5,SAN,LAX,109,8,18,0,,0
1,24,4,1944,2050,MQ,3086,N394AE,66,34,115,99,SAN,LAX,109,13,19,0,,0
1,30,3,1837,1924,MQ,3086,N818AE,47,27,29,32,SAN,LAX,109,16,4,0,,0
1,31,4,1757,1852,MQ,3086,N301AE,55,33,-3,-8,SAN,LAX,109,6,16,0,,0
1,1,2,1716,1813,MQ,3089,N340RC,57,32,-12,-4,LAX,SAN,109,3,22,0,,0
1,3,4,1718,1821,MQ,3089,N317AE,63,43,-4,-2,LAX,SAN,109,3,17,0,,0
1,4,5,1728,1828,MQ,3089,N323AE,60,35,3,8,LAX,SAN,109,5,20,0,,0
1,7,1,1715,1813,MQ,3089,N240DS,58,34,-12,-5,LAX,SAN,109,3,21,0,,0
1,8,2,1717,1820,MQ,3089,N323AE,63,32,-5,-3,LAX,SAN,109,13,18,0,,0
1,9,3,1716,1807,MQ,3089,N340RC,51,35,-18,-4,LAX,SAN,109,2,14,0,,0
1,11,5,1714,1806,MQ,3089,N384AE,52,32,-19,-6,LAX,SAN,109,3,17,0,,0
1,16,3,1716,1804,MQ,3089,N384AE,48,31,-21,-4,LAX,SAN,109,2,15,0,,0
1,17,4,1715,1816,MQ,3089,N818AE,61,29,-9,-5,LAX,SAN,109,11,21,0,,0
1,18,5,1720,1816,MQ,3089,N384AE,56,31,-9,0,LAX,SAN,109,4,21,0,,0
1,19,6,1715,1829,MQ,3089,N253AE,74,45,4,-5,LAX,SAN,109,6,23,0,,0
1,20,7,1720,1814,MQ,3089,N384AE,54,33,-11,0,LAX,SAN,109,3,18,0,,0
1,26,6,1718,1823,MQ,3089,N394AE,65,36,-2,-2,LAX,SAN,109,7,22,0,,0
1,27,7,1812,1930,MQ,3089,N313AE,78,37,65,52,LAX,SAN,109,4,37,0,,0
1,9,3,2038,2218,MQ,3182,N822AE,100,66,18,-2,SNA,SFO,372,7,27,0,,0
1,11,5,2047,2209,MQ,3182,N800AE,82,70,9,7,SNA,SFO,372,4,8,0,,0
1,13,7,2039,2157,MQ,3182,N853AE,78,64,-3,-1,SNA,SFO,372,4,10,0,,0
1,18,5,2039,2156,MQ,3182,N807AE,77,62,-4,-1,SNA,SFO,372,4,11,0,,0
1,25,5,2151,2312,MQ,3182,N841AE,81,70,72,71,SNA,SFO,372,5,6,0,,0
1,28,1,2034,2159,MQ,3182,N848AE,85,65,-1,-6,SNA,SFO,372,6,14,0,,0
1,29,2,2039,2212,MQ,3182,N841AE,93,70,12,-1,SNA,SFO,372,6,17,0,,0
1,31,4,1848,2141,MQ,4923,N708AE,233,172,51,-2,LGA,MEM,963,14,47,0,,0
1,13,7,1541,1926,NW,110,N557NW,165,138,6,1,MSP,LGA,1020,9,18,0,,0
1,14,1,1532,1927,NW,110,N526US,175,137,7,-8,MSP,LGA,1020,12,26,0,,0
1,15,2,1540,1928,NW,110,N557NW,168,145,8,0,MSP,LGA,1020,6,17,0,,0
1,21,1,1537,2002,NW,110,N534US,205,135,42,-3,MSP,LGA,1020,20,50,0,,0
1,24,4,1602,1942,NW,110,N557NW,160,128,22,22,MSP,LGA,1020,10,22,0,,0
1,26,6,1536,1910,NW,110,N520US,154,128,-10,-4,MSP,LGA,1020,10,16,0,,0
1,28,1,1536,1924,NW,110,N513US,168,144,4,-4,MSP,LGA,1020,10,14,0,,0
1,8,2,1025,1426,NW,110,N511US,181,161,-13,-5,PHX,MSP,1276,3,17,0,,0
1,12,6,1021,1434,NW,110,N514US,193,162,-5,-9,PHX,MSP,1276,10,21,0,,0
1,14,1,1024,1448,NW,110,N526US,204,172,9,-6,PHX,MSP,1276,8,24,0,,0
1,15,2,1225,1621,NW,110,N553NW,176,156,102,115,PHX,MSP,1276,5,15,0,,0
1,21,1,1031,1432,NW,110,N504US,181,156,-7,1,PHX,MSP,1276,5,20,0,,0
1,28,1,1041,1422,NW,110,N513US,161,144,-17,11,PHX,MSP,1276,4,13,0,,0
1,29,2,1020,1422,NW,110,N530US,182,152,-17,-10,PHX,MSP,1276,7,23,0,,0
1,30,3,1025,1417,NW,110,N502US,172,147,-22,-5,PHX,MSP,1276,7,18,0,,0
1,2,3,1913,2135,NW,111,N310NW,202,179,-1,-2,MSP,PHX,1276,6,17,0,,0
1,2,3,905,1318,NW,112,N517US,193,162,-8,-10,PHX,MSP,1276,12,19,0,,0
1,4,5,944,1338,NW,112,N552NW,174,151,12,29,PHX,MSP,1276,5,18,0,,0
1,6,7,1123,1329,NW,113,N547US,186,168,-10,-1,BOS,MSP,1124,7,11,0,,0
1,8,2,1125,1402,NW,113,N522US,217,156,28,-4,LGA,MSP,1020,8,53,0,,0
1,10,4,1130,1352,NW,113,N527US,202,156,18,1,LGA,MSP,1020,13,33,0,,0
1,11,5,1216,1357,NW,113,N517US,161,138,23,47,LGA,MSP,1020,9,14,0,,0
1,16,3,1127,1347,NW,113,N518US,200,157,13,-2,LGA,MSP,1020,14,29,0,,0
1,17,4,1141,1400,NW,113,N526US,199,147,26,12,LGA,MSP,1020,4,48,0,,0
1,18,5,1132,1343,NW,113,N514US,191,156,9,3,LGA,MSP,1020,10,25,0,,0
1,20,7,1133,1336,NW,113,N534US,183,152,2,4,LGA,MSP,1020,7,24,0,,0
1,21,1,1147,1356,NW,113,N534US,189,166,22,18,LGA,MSP,1020,7,16,0,,0
1,22,2,1125,1332,NW,113,N530US,187,153,-2,-4,LGA,MSP,1020,8,26,0,,0
1,27,7,1122,1330,NW,113,N525US,188,153,-4,-7,LGA,MSP,1020,15,20,0,,0
1,30,3,1207,1409,NW,113,N517US,182,145,35,38,LGA,MSP,1020,5,32,0,,0
1,1,2,1442,1641,NW,113,N356NW,179,166,-7,9,MSP,PHX,1276,4,9,0,,0
1,2,3,1431,1635,NW,113,N352NW,184,169,-13,-2,MSP,PHX,1276,4,11,0,,0
1,4,5,1452,1706,NW,113,N320US,194,176,18,19,MSP,PHX,1276,4,14,0,,0
1,5,6,1425,1704,NW,113,N365NW,219,192,16,-8,MSP,PHX,1276,6,21,0,,0
1,8,2,1454,1704,NW,113,N522US,190,176,11,19,MSP,PHX,1276,5,9,0,,0
1,9,3,1437,1702,NW,113,N523US,205,187,9,2,MSP,PHX,1276,3,15,0,,0
1,11,5,1429,1632,NW,113,N365NW,183,168,-21,-6,MSP,PHX,1276,4,11,0,,0
1,23,3,1431,1659,NW,113,N503US,208,178,6,-4,MSP,PHX,1276,5,25,0,,0
1,24,4,1506,1733,NW,113,N532US,207,187,40,31,MSP,PHX,1276,3,17,0,,0
1,28,1,1436,1727,NW,113,N503US,231,212,34,1,MSP,PHX,1276,5,14,0,,0
1,30,3,1440,1654,NW,113,N552NW,194,179,1,5,MSP,PHX,1276,2,13,0,,0
1,3,4,1922,2314,NW,114,N378NW,172,143,-2,10,PHX,MSP,1276,12,17,0,,0
1,4,5,1900,2258,NW,114,N364NW,178,156,-18,-12,PHX,MSP,1276,7,15,0,,0
1,3,4,1312,1640,NW,116,N523US,148,126,12,12,MSP,BWI,936,7,15,0,,0
1,4,5,1312,1629,NW,116,N557NW,137,117,1,12,MSP,BWI,936,5,15,0,,0
1,2,3,737,1143,NW,116,N523US,186,165,-4,-3,PHX,MSP,1276,5,16,0,,0
1,3,4,753,1147,NW,116,N523US,174,151,0,13,PHX,MSP,1276,11,12,0,,0
1,4,5,729,1119,NW,116,N507US,170,145,-28,-11,PHX,MSP,1276,8,17,0,,0
1,14,1,740,1156,NW,116,N512US,196,164,3,-10,PHX,MSP,1276,19,13,0,,0
1,18,5,747,1152,NW,116,N528US,185,159,-1,-3,PHX,MSP,1276,11,15,0,,0
1,23,3,742,1134,NW,116,N509US,172,151,-19,-8,PHX,MSP,1276,4,17,0,,0
1,26,6,746,1135,NW,116,N511US,169,153,-18,-4,PHX,MSP,1276,5,11,0,,0
1,2,3,1814,2025,NW,117,N518US,191,156,5,21,BOS,MSP,1124,7,28,0,,0
1,3,4,1746,2008,NW,117,N557NW,202,175,-12,-7,BOS,MSP,1124,5,22,0,,0
1,2,3,2156,16,NW,117,N523US,200,178,17,16,MSP,PHX,1276,7,15,0,,0
1,11,5,2134,2346,NW,117,N506US,192,159,-2,4,MSP,PHX,1276,5,28,0,,0
1,12,6,2119,2323,NW,117,N515US,184,161,-25,-11,MSP,PHX,1276,6,17,0,,0
1,15,2,2130,6,NW,117,N521US,216,181,18,0,MSP,PHX,1276,11,24,0,,0
1,16,3,2139,2339,NW,117,N520US,180,168,-9,9,MSP,PHX,1276,2,10,0,,0
1,28,1,2128,2358,NW,117,N523US,210,196,10,-2,MSP,PHX,1276,3,11,0,,0
1,29,2,2222,48,NW,117,N531US,206,189,60,52,MSP,PHX,1276,4,13,0,,0
1,8,2,1540,1950,NW,118,N358NW,190,169,3,0,PHX,MSP,1276,8,13,0,,0
1,9,3,1533,1920,NW,118,N359NW,167,151,-27,-7,PHX,MSP,1276,4,12,0,,0
1,13,7,1529,1943,NW,118,N354NW,194,164,-4,-11,PHX,MSP,1276,17,13,0,,0
1,16,3,1534,1928,NW,118,N368NW,174,153,-19,-6,PHX,MSP,1276,9,12,0,,0
1,18,5,1532,1941,NW,118,N316US,189,154,-6,-8,PHX,MSP,1276,24,11,0,,0
1,29,2,1617,2025,NW,118,N321US,188,162,38,37,PHX,MSP,1276,11,15,0,,0
1,30,3,1544,1953,NW,118,N367NW,189,157,6,4,PHX,MSP,1276,8,24,0,,0
1,2,3,705,928,NW,119,N511US,203,172,8,5,MSP,PHX,1276,5,26,0,,0
1,12,6,714,936,NW,119,N514US,202,162,6,12,MSP,PHX,1276,6,34,0,,0
1,15,2,921,1149,NW,119,N553NW,208,171,139,139,MSP,PHX,1276,4,33,0,,0
1,16,3,722,945,NW,119,N508US,203,171,15,20,MSP,PHX,1276,2,30,0,,0
1,21,1,657,939,NW,119,N504US,222,194,9,-5,MSP,PHX,1276,4,24,0,,0
1,22,2,658,936,NW,119,N522US,218,192,6,-4,MSP,PHX,1276,5,21,0,,0
1,23,3,700,922,NW,119,N530US,202,179,-8,-2,MSP,PHX,1276,4,19,0,,0
1,25,5,700,925,NW,119,N502US,205,189,-5,-2,MSP,PHX,1276,2,14,0,,0
1,27,7,701,945,NW,119,N515US,224,188,15,-1,MSP,PHX,1276,2,34,0,,0
1,28,1,655,1000,NW,119,N513US,245,210,30,-7,MSP,PHX,1276,2,33,0,,0
1,29,2,702,927,NW,119,N530US,205,175,-3,0,MSP,PHX,1276,2,28,0,,0
1,2,3,1738,2138,NW,120,N352NW,180,155,-11,-7,PHX,MSP,1276,8,17,0,,0
1,3,4,1740,2138,NW,120,N377NW,178,145,-11,-5,PHX,MSP,1276,9,24,0,,0
1,7,1,1805,2153,NW,120,N511US,168,149,0,15,PHX,MSP,1276,6,13,0,,0
1,11,5,1740,2146,NW,120,N365NW,186,165,-7,-10,PHX,MSP,1276,9,12,0,,0
1,13,7,1740,2142,NW,120,N509US,182,163,-11,-10,PHX,MSP,1276,6,13,0,,0
1,9,3,849,957,NW,1491,N1332U,128,110,-16,-11,CMH,MSP,627,9,9,0,,0
1,10,4,850,955,NW,1491,N9336,125,100,-18,-10,CMH,MSP,627,12,13,0,,0
1,14,1,858,1004,NW,1491,N3324L,126,95,-9,-2,CMH,MSP,627,5,26,0,,0
1,1,2,2155,22,OH,4948,N589SW,147,112,8,0,LGA,TYS,647,5,30,0,,0
1,1,2,915,1122,OH,4957,N398CA,187,160,35,30,CVG,SAT,1024,5,22,0,,0
1,1,2,2055,2240,OH,4964,N713CA,105,75,74,65,CVG,SYR,527,8,22,0,,0
1,1,2,2100,2310,OH,4965,N912CA,190,146,24,15,CVG,SAT,1024,5,39,0,,0
1,1,2,1635,1913,OH,4970,N967CA,98,81,24,18,BHM,CVG,396,2,15,0,,0
1,1,2,2110,2254,OH,4970,N917CA,104,72,106,95,CVG,AVP,499,10,22,0,,0
1,1,2,1243,1420,OH,4974,N712CA,97,79,-12,0,SAV,CVG,515,4,14,0,,0
1,1,2,1745,1939,OH,4977,N917CA,114,86,44,44,SYR,CVG,527,3,25,0,,0
1,1,2,1523,1725,OH,4980,N739CA,122,97,10,8,CVG,PVD,722,5,20,0,,0
1,1,2,1800,2025,OH,4981,N739CA,145,136,22,25,PVD,CVG,722,2,7,0,,0
1,1,2,1105,1222,OH,5000,N806CA,77,46,12,0,CVG,CLE,221,4,27,0,,0
1,1,2,1325,1529,OH,5005,N477CA,124,91,16,8,LGA,RDU,431,4,29,0,,0
1,1,2,1358,1654,OH,5007,N371CA,176,137,71,43,CVG,PBI,892,10,29,0,,0
1,1,2,1110,1355,OH,5016,N796CA,105,89,-3,0,TUL,CVG,646,2,14,0,,0
1,1,2,1630,1747,OH,5017,N369CA,77,52,15,20,ATL,SDF,321,5,20,0,,0
1,1,2,1300,1435,OH,5025,N739CA,95,73,5,8,CLT,CVG,335,3,19,0,,0
1,1,2,1550,1928,OH,5026,N709CA,158,139,28,22,AUS,CVG,958,6,13,0,,0
1,1,2,1055,1255,OH,5028,N455CA,120,89,7,0,CVG,BDL,661,9,22,0,,0
1,1,2,1120,1300,OH,5041,N819CA,100,63,17,9,PIT,JFK,340,8,29,0,,0
1,1,2,600,835,OH,5051,N455CA,155,124,18,0,ALB,CVG,623,2,29,0,,0
1,1,2,1510,1630,OH,5052,N933CA,80,47,46,40,JFK,BWI,184,5,28,0,,0
1,5,6,919,1030,9E,2001,91469E,131,112,115,124,ATL,HOU,696,4,15,0,,0
1,8,2,713,814,9E,2001,91469E,121,102,-21,-2,ATL,HOU,696,4,15,0,,0
1,9,3,709,825,9E,2001,91539E,136,108,-10,-6,ATL,HOU,696,2,26,0,,0
1,12,6,711,818,9E,2001,91539E,127,112,-17,-4,ATL,HOU,696,2,13,0,,0
1,19,6,728,838,9E,2001,91539E,130,117,3,13,ATL,HOU,696,1,12,0,,0
1,20,7,740,841,9E,2001,91469E,121,106,6,25,ATL,HOU,696,1,14,0,,0
1,21,1,712,819,9E,2001,91539E,127,113,-16,-3,ATL,HOU,696,3,11,0,,0
1,22,2,711,828,9E,2001,91479E,137,119,-7,-4,ATL,HOU,696,2,16,0,,0
1,23,3,712,827,9E,2001,91539E,135,118,-8,-3,ATL,HOU,696,2,15,0,,0
1,24,4,711,835,9E,2001,91479E,144,120,0,-4,ATL,HOU,696,2,22,0,,0
1,27,7,711,900,9E,2001,91539E,169,122,25,-4,ATL,HOU,696,2,45,0,,0
1,28,1,731,833,9E,2001,91479E,122,105,-2,16,ATL,HOU,696,2,15,0,,0
1,29,2,709,831,9E,2001,91469E,142,116,-4,-6,ATL,HOU,696,5,21,0,,0
1,1,2,859,1141,9E,2002,91469E,102,83,-24,-6,HOU,ATL,696,5,14,0,,0
1,3,4,900,1158,9E,2002,91469E,118,91,-7,-5,HOU,ATL,696,10,17,0,,0
1,6,7,929,1224,9E,2002,91479E,115,93,19,24,HOU,ATL,696,8,14,0,,0
1,12,6,856,1142,9E,2002,91539E,106,82,-23,-9,HOU,ATL,696,9,15,0,,0
1,16,3,901,1149,9E,2002,91539E,108,88,-16,-4,HOU,ATL,696,6,14,0,,0
1,18,5,902,1154,9E,2002,91469E,112,91,-11,-3,HOU,ATL,696,7,14,0,,0
1,22,2,901,1156,9E,2002,91479E,115,91,-9,-4,HOU,ATL,696,7,17,0,,0
1,23,3,858,1159,9E,2002,91539E,121,103,-6,-7,HOU,ATL,696,6,12,0,,0
1,29,2,856,1140,9E,2002,91469E,104,90,-25,-9,HOU,ATL,696,6,8,0,,0
1,30,3,858,1146,9E,2002,91479E,108,88,-19,-7,HOU,ATL,696,7,13,0,,0
1,21,1,705,748,9E,5772,84889E,103,78,1,0,GSP,MEM,441,10,15,0,,0
1,4,5,854,1213,AA,1,N319AA,379,353,-12,-6,JFK,LAX,2475,5,21,0,,0
1,5,6,856,1214,AA,1,N327AA,378,350,-11,-4,JFK,LAX,2475,8,20,0,,0
1,8,2,855,1231,AA,1,N323AA,396,348,6,-5,JFK,LAX,2475,11,37,0,,0
1,15,2,857,1213,AA,1,N322AA,376,323,-12,-3,JFK,LAX,2475,21,32,0,,0
1,16,3,906,1212,AA,1,N332AA,366,333,-13,6,JFK,LAX,2475,15,18,0,,0
1,19,6,852,1241,AA,1,N335AA,409,340,16,-8,JFK,LAX,2475,13,56,0,,0
1,20,7,857,1226,AA,1,N338AA,389,327,1,-3,JFK,LAX,2475,38,24,0,,0
1,24,4,918,1239,AA,1,N338AA,381,352,14,18,JFK,LAX,2475,11,18,0,,0
1,27,7,859,1257,AA,1,N327AA,418,357,32,-1,JFK,LAX,2475,14,47,0,,0
1,30,3,857,1221,AA,1,N325AA,384,334,-4,-3,JFK,LAX,2475,17,33,0,,0
1,31,4,857,1151,AA,1,N332AA,354,326,-29,-3,JFK,LAX,2475,13,15,0,,0
1,3,4,926,1748,AA,2,N328AA,322,291,-2,-4,LAX,JFK,2475,17,14,0,,0
1,4,5,946,1813,AA,2,N328AA,327,281,23,16,LAX,JFK,2475,27,19,0,,0
1,10,4,927,1759,AA,2,N320AA,332,296,9,-3,LAX,JFK,2475,23,13,0,,0
1,12,6,926,1729,AA,2,N336AA,303,284,-21,-4,LAX,JFK,2475,4,15,0,,0
1,18,5,929,1742,AA,2,N328AA,313,283,-8,-1,LAX,JFK,2475,17,13,0,,0
1,19,6,928,1752,AA,2,N338AA,324,289,2,-2,LAX,JFK,2475,21,14,0,,0
1,20,7,926,1739,AA,2,N327AA,313,283,-11,-4,LAX,JFK,2475,8,22,0,,0
1,22,2,924,1725,AA,2,N336AA,301,276,-25,-6,LAX,JFK,2475,12,13,0,,0
1,23,3,924,1737,AA,2,N335AA,313,283,-13,-6,LAX,JFK,2475,11,19,0,,0
1,24,4,926,1739,AA,2,N319AA,313,293,-11,-4,LAX,JFK,2475,11,9,0,,0
1,25,5,939,1749,AA,2,N321AA,310,282,-1,9,LAX,JFK,2475,10,18,0,,0
1,27,7,924,1740,AA,2,N325AA,316,284,-10,-6,LAX,JFK,2475,14,18,0,,0
1,28,1,1001,1806,AA,2,N332AA,305,270,16,31,LAX,JFK,2475,17,18,0,,0
1,31,4,924,1741,AA,2,N339AA,317,283,-9,-6,LAX,JFK,2475,23,11,0,,0
1,4,5,1227,1548,AA,3,N320AA,381,347,38,27,JFK,LAX,2475,8,26,0,,0
1,5,6,1156,1514,AA,3,N328AA,378,351,4,-4,JFK,LAX,2475,8,19,0,,0
1,6,7,1154,1452,AA,3,N325AA,358,330,-18,-6,JFK,LAX,2475,13,15,0,,0
1,10,4,1154,1442,AA,3,N325AA,348,327,-28,-6,JFK,LAX,2475,4,17,0,,0
1,17,4,1155,1434,AA,3,N319AA,339,316,-36,-5,JFK,LAX,2475,9,14,0,,0
1,22,2,1154,1520,AA,3,N332AA,386,352,10,-6,JFK,LAX,2475,13,21,0,,0
1,26,6,1152,1454,AA,3,N320AA,362,344,-16,-8,JFK,LAX,2475,8,10,0,,0
1,28,1,1151,1441,AA,3,N319AA,350,338,-29,-9,JFK,LAX,2475,3,9,0,,0
1,31,4,1156,1447,AA,3,N335AA,351,334,-23,-4,JFK,LAX,2475,4,13,0,,0
1,1,2,1158,2021,AA,4,N332AA,323,289,-8,-2,LAX,JFK,2475,12,22,0,,0
1,4,5,1201,2028,AA,4,N327AA,327,286,-1,1,LAX,JFK,2475,27,14,0,,0
1,7,1,1217,2018,AA,4,N323AA,301,280,-11,17,LAX,JFK,2475,10,11,0,,0
1,10,4,1155,2032,AA,4,N335AA,337,292,3,-5,LAX,JFK,2475,17,28,0,,0
1,5,6,1306,1737,AA,5,N362AA,511,496,22,21,DFW,HNL,3784,3,12,0,,0
1,6,7,1240,1716,AA,5,N394AA,516,497,1,-5,DFW,HNL,3784,3,16,0,,0
1,8,2,1245,1705,AA,5,N344AA,500,480,-10,0,DFW,HNL,3784,2,18,0,,0
1,12,6,1242,1707,AA,5,N382AA,505,488,-8,-3,DFW,HNL,3784,3,14,0,,0
1,15,2,1242,1711,AA,5,N364AA,509,491,-4,-3,DFW,HNL,3784,4,14,0,,0
1,16,3,1239,1658,AA,5,N365AA,499,481,-17,-6,DFW,HNL,3784,3,15,0,,0
1,18,5,1246,1707,AA,5,N358AA,501,481,-8,1,DFW,HNL,3784,4,16,0,,0
1,21,1,1247,1714,AA,5,N381AA,507,487,-1,2,DFW,HNL,3784,2,18,0,,0
1,27,7,1244,1726,AA,5,N391AA,522,500,11,-1,DFW,HNL,3784,2,20,0,,0
1,30,3,1239,1706,AA,5,N352AA,507,491,-9,-6,DFW,HNL,3784,2,14,0,,0
1,3,4,1802,507,AA,6,N363AA,425,407,2,-3,OGG,DFW,3711,4,14,0,,0
1,4,5,1754,442,AA,6,N365AA,408,394,-23,-11,OGG,DFW,3711,7,7,0,,0
1,6,7,1807,500,AA,6,N343AA,413,396,-5,2,OGG,DFW,3711,4,13,0,,0
1,9,3,1805,509,AA,6,N372AA,424,408,4,0,OGG,DFW,3711,8,8,0,,0
1,13,7,1800,444,AA,6,N386AA,404,386,-21,-5,OGG,DFW,3711,7,11,0,,0
1,19,6,1750,447,AA,6,N381AA,417,404,-18,-15,OGG,DFW,3711,4,9,0,,0
1,21,1,1803,454,AA,6,N391AA,411,393,-11,-2,OGG,DFW,3711,8,10,0,,0
1,24,4,1757,457,AA,6,N372AA,420,406,-8,-8,OGG,DFW,3711,4,10,0,,0
1,3,4,1211,1625,AA,7,N363AA,494,477,-5,1,DFW,OGG,3711,6,11,0,,0
1,4,5,1207,1617,AA,7,N365AA,490,474,-13,-3,DFW,OGG,3711,4,12,0,,0
1,29,2,1036,1157,AA,1477,N463AA,81,40,17,-4,DFW,AUS,190,4,37,0,,0
1,31,4,1102,1225,AA,1477,N540AA,83,45,45,22,DFW,AUS,190,5,33,0,,0
1,2,3,2008,2136,AA,1479,N3CFAA,88,61,21,8,SJC,SNA,342,13,14,0,,0
1,3,4,2025,2139,AA,1479,N3BJAA,74,55,24,25,SJC,SNA,342,6,13,0,,0
1,2,3,1510,1552,AQ,26,N824AL,42,23,10,5,HNL,OGG,100,4,15,0,,0
1,3,4,1503,1540,AQ,26,N824AL,37,23,-2,-2,HNL,OGG,100,4,10,0,,0
1,4,5,1506,1547,AQ,26,N810AL,41,23,5,1,HNL,OGG,100,9,9,0,,0
